Skill,Count
git,57
excel,18
docker,12
aws,12
scala,11
artificial intelligence,9
gcp,8
azure,7
sql,6
kubernetes,6
typescript,5
python,5
linux,4
terraform,3
gitlab,3
spark,2
github,2
express,2
postgresql,2
java,2
kafka,2
react,2
graphql,2
rest api,2
node.js,2
c#,2
power bi,1
looker,1
c++,1
angular,1
mongodb,1
machine learning,1
html,1
javascript,1
